\theta = \frac{T-T_w}{T_\infty-T_w}	\eta
0.0	83.9402694716
0.0	76.6301632241
0.0	69.9566320002
0.0	63.8642752221
0.0	58.3024489271
0.0	53.2249579869
0.0	48.5896364062
0.0	44.3579556014
0.0	40.4947725795
0.0	36.9679941775
0.0	33.7483252415
0.0	30.8089888254
0.0	28.125614271
0.0	25.6758986488
0.0	23.4394696552
0.0	21.3977597028
0.0	19.533810059
0.0	17.8321309461
0.0	16.2785924188
0.0	14.8602816656
0.0	13.5654218668
0.0	12.3832546777
0.0	11.3039590869
0.0	10.3185702735
0.0	9.41890126329
0.0	8.59747577629
8.65486892598e-07	7.84747506458
5.19292135581e-06	7.16266516415
1.99061985304e-05	6.53735492473
5.62566480212e-05	5.96635683766
0.000135015955251	5.44491988371
0.000274359344965	4.96871834097
0.000498520450157	4.53379302674
0.000813557679076	4.13652891341
0.0012220674924	3.7736299464
0.00170933661295	3.44207987203
0.00226151725045	3.13912544947
0.00285177931123	2.86224847061
0.00346540951811	2.60914757309
0.00408077069877	2.37772229155
0.00468574603672	2.16604983422
0.00526994968925	1.97237137266
0.00582645776121	1.7950780517
0.00635094281815	1.63269671961
0.00684253937316	1.48387901586
0.00730038193937	1.34738850029
0.00772533600365	1.22209113985
0.0081191325398	1.1069457954
0.0084826370347	1.00099638728
0.00881844594905	0.903362661845
0.0091291557435	0.813233476306
0.00941563190496	0.729860083454
0.009681336381	0.652549696266
0.00992886563229	0.580660451481
0.0101582196588	0.513594974183
0.0103719949213	0.45079590098
0.0105727878804	0.391741962801
0.010761464023	0.335942109068
0.0109406198098	0.282933269294
0.0111102552407	0.232274617166
0.0112729667766	0.183545639913
0.0114296199041	0.136341465634
0.0115819455972	0.0902698974115
0.0117308093428	0.0449482515564
0.0118779421145	0.0
