1-\frac{\rho}{\rho_\infty}	\eta
0.0	83.9402694716
0.0	76.6301632241
0.0	69.9566320002
0.0	63.8642752221
0.0	58.3024489271
0.0	53.2249579869
0.0	48.5896364062
0.0	44.3579556014
0.0	40.4947725795
0.0	36.9679941775
0.0	33.7483252415
0.0	30.8089888254
0.0	28.125614271
0.0	25.6758986488
0.0	23.4394696552
0.0	21.3977597028
0.0	19.533810059
0.0	17.8321309461
0.0	16.2785924188
0.0	14.8602816656
0.0	13.5654218668
0.0	12.3832546777
0.0	11.3039590869
0.0	10.3185702735
-8.65486892598e-07	9.41890126329
2.59646067791e-06	8.59747577629
2.94265543495e-05	7.84747506458
0.000142805337285	7.16266516415
0.000494193015694	6.53735492473
0.00134496663115	5.96635683766
0.00303699350625	5.44491988371
0.00588963830437	4.96871834097
0.0101010975239	4.53379302674
0.0156618508091	4.13652891341
0.022377163609	3.7736299464
0.0299242093128	3.44207987203
0.0379481382944	3.13912544947
0.046117469074	2.86224847061
0.0541742865575	2.60914757309
0.0619290491155	2.37772229155
0.0692666469913	2.16604983422
0.0761221686678	1.97237137266
0.0824713805122	1.7950780517
0.0883177444719	1.63269671961
0.093677704798	1.48387901586
0.0985824190186	1.34738850029
0.103063910149	1.22209113985
0.107157663151	1.1069457954
0.110900028475	1.00099638728
0.114323029135	0.903362661845
0.117460419121	0.813233476306
0.120340759499	0.729860083454
0.122992611338	0.652549696266
0.125441939245	0.580660451481
0.12771038039	0.513594974183
0.129821302921	0.45079590098
0.13179374755	0.391741962801
0.133646754987	0.335942109068
0.135396596386	0.282933269294
0.13705962945	0.232274617166
0.138650740554	0.183545639913
0.140184037133	0.136341465634
0.14167319388	0.0902698974115
0.143130154515	0.0449482515564
0.144570497802	0.0
