iteration	\log_{10}(R_{\rho})
281	-4.5402255122
282	-4.4856170134
283	-4.4296493022
284	-4.3826053151
285	-4.3477516443
286	-4.3256136939
287	-4.3158898955
288	-4.3181442523
289	-4.3319855506
290	-4.3570029104
291	-4.3924858371
292	-4.4367900645
293	-4.4861153315
294	-4.532778784
295	-4.5648775441
296	-4.5717303414
297	-4.5532263444
298	-4.5198348802
299	-4.4833924716
300	-4.4514877865
301	-4.4277537615
302	-4.4135338066
303	-4.4090679802
304	-4.4140461104
305	-4.427750918
306	-4.4489469824
307	-4.4755702006
308	-4.5043178842
309	-4.5304660246
310	-4.5486799056
311	-4.5549931266
312	-4.549175328
313	-4.5347859561
314	-4.5170528876
315	-4.5006516899
316	-4.4888350789
317	-4.4835003308
318	-4.4855614143
319	-4.4952181918
320	-4.5120246588
321	-4.5347467854
322	-4.5610571491
323	-4.5872207667
324	-4.6082670945
325	-4.6193155794
326	-4.6179323119
327	-4.6056882033
328	-4.5872198558
329	-4.5676982312
330	-4.5512573908
331	-4.5406019416
332	-4.5373146809
333	-4.5422071694
334	-4.555537644
335	-4.577014145
336	-4.6055508645
337	-4.6387337519
338	-4.6720753331
339	-4.6987480284
340	-4.7113041888
341	-4.7059919465
342	-4.6855591086
343	-4.6571506214
344	-4.6279223005
345	-4.6028449545
346	-4.584759333
347	-4.5751241386
348	-4.5746442643
349	-4.5836306881
350	-4.6021316684
351	-4.6298541636
352	-4.6658344164
353	-4.7077195737
354	-4.7506253924
355	-4.7862359989
356	-4.8045111086
357	-4.7999066702
358	-4.7762781705
359	-4.7434098386
360	-4.7102436396
361	-4.6823294486
362	-4.6624324599
363	-4.6517246031
364	-4.6506001738
365	-4.659074661
366	-4.6768814129
367	-4.703362644
368	-4.7370998362
369	-4.7752435817
370	-4.8126560748
371	-4.8417129123
372	-4.8547240166
373	-4.8486356324
374	-4.8275225787
375	-4.7993348356
376	-4.7711849686
377	-4.7476176574
378	-4.731014683
379	-4.7223966498
380	-4.7220186482
381	-4.7296621365
382	-4.7447002934
383	-4.7659898096
384	-4.7916324389
385	-4.818709341
386	-4.8432551006
387	-4.8609093232
388	-4.868530655
389	-4.8658036385
390	-4.8554263373
391	-4.8416084614
392	-4.8283466413
393	-4.818577394
394	-4.8141089507
395	-4.8158239784
396	-4.8238650895
397	-4.8377170129
398	-4.8561137196
399	-4.8768908512
400	-4.8969137177
401	-4.9124173229
402	-4.9200655177
403	-4.9184493951
404	-4.9087921984
405	-4.8942922046
406	-4.8786929281
407	-4.8652149808
408	-4.8561269496
409	-4.8528379729
410	-4.8560814612
411	-4.8660375706
412	-4.8823490844
413	-4.9039865766
414	-4.9289890811
415	-4.9541861063
416	-4.9752603343
417	-4.9876939901
418	-4.9886713915
419	-4.9787096776
420	-4.9613464976
421	-4.941257826
422	-4.9225260238
423	-4.9080178868
424	-4.8995053655
425	-4.8979738605
426	-4.9038728831
427	-4.9172417325
428	-4.9376859901
429	-4.9641780021
430	-4.994682836
431	-5.0256901898
432	-5.0520363763
433	-5.0679028726
434	-5.069444933
435	-5.0571972235
436	-5.0356984716
437	-5.0107209095
438	-4.98699532
439	-4.9675986459
440	-4.9542279543
441	-4.9476977672
442	-4.9482821031
443	-4.9558971206
444	-4.9701483633
445	-4.9902682516
446	-5.0149513715
447	-5.0421099167
448	-5.0687402229
449	-5.0910475486
450	-5.1052976496
451	-5.109314263
452	-5.1035032286
453	-5.0905985256
454	-5.0742643835
455	-5.0577875682
456	-5.0434971585
457	-5.0327813719
458	-5.0262932254
459	-5.0241669109
460	-5.0261709818
461	-5.0318093118
462	-5.0403732773
463	-5.0509943599
464	-5.0627130169
465	-5.0745305473
466	-5.0855446602
467	-5.0950264664
468	-5.1024993241
469	-5.1078053023
470	-5.1110184955
471	-5.1123776519
472	-5.1121905596
473	-5.1107687215
474	-5.1083981872
475	-5.1053623948
476	-5.1019805023
477	-5.0986185565
478	-5.09574261
479	-5.0938714711
480	-5.0935768935
481	-5.0954252783
482	-5.0998882848
483	-5.1073403508
484	-5.1179368536
485	-5.1315420665
