Re_x	Nu_x
2176.84682805	14.0414285714
4371.89644927	18.5563596595
6603.50403612	22.7204774144
8890.32951962	26.4683730828
11251.498676	29.9170970758
13706.7511523	33.1614492053
16276.6189677	36.267270016
18982.5941311	39.2824085872
21847.2919041	42.2438263001
24894.7033156	45.1814238297
28150.2648208	48.1199394345
31641.230542	51.0805289407
35396.7702267	54.0814136069
39448.2957746	57.1387260744
43829.7006908	60.266973847
48577.599539	63.4793523397
53731.7197738	66.7882038186
59335.1411939	70.2051199285
65434.709543	73.7412883636
72081.4718793	77.4076098166
79330.9595653	81.2148208301
87243.8195537	85.1736449316
95886.2279881	89.2948275163
105330.412646	93.5892844386
115655.393068	98.06791392
126947.48123	102.742148222
139301.108747	107.622721387
152819.588771	112.722320827
167615.943188	118.049522554
183813.903973	123.622287835
201548.914534	129.437607095
220969.326984	135.537645572
242237.338178	141.874009155
265531.123031	148.573976977
291045.291649	155.453935135
318993.17502	162.872332413
349608.348809	170.321611959
383147.027889	178.658184728
419889.59013	186.725296555
460143.406305	196.248490194
504244.799249	204.916105516
552562.744498	215.722265677
605501.264825	224.866273533
