\theta = \frac{T-T_w}{T_\infty-T_w}	\eta
1.0	83.9402694716
1.0	76.6301632241
1.0	69.9566320002
1.0	63.8642752221
1.0	58.3024489271
1.0	53.2249579869
1.00002778704	48.5896364062
1.00002778704	44.3579556014
1.00002778704	40.4947725795
1.00002778704	36.9679941775
1.00002778704	33.7483252415
1.00002778704	30.8089888254
1.00002778704	28.125614271
1.00002778704	25.6758986488
1.00002778704	23.4394696552
1.00002778704	21.3977597028
1.00002778704	19.533810059
1.00002778704	17.8321309461
1.00002778704	16.2785924188
1.00002778704	14.8602816656
1.00002778704	13.5654218668
1.00002778704	12.3832546777
1.00002778704	11.3039590869
1.00002778704	10.3185702735
1.00002778704	9.41890126329
1.0	8.59747577629
0.99991663888	7.84747506458
0.999555407358	7.16266516415
0.998360564633	6.53735492473
0.995331777259	5.96635683766
0.98880182283	5.44491988371
0.977214627098	4.96871834097
0.958513949094	4.53379302674
0.932282983217	4.13652891341
0.898188284984	3.7736299464
0.857563632322	3.44207987203
0.811464932755	3.13912544947
0.762031788374	2.86224847061
0.710681338224	2.60914757309
0.659108591753	2.37772229155
0.608313882405	2.16604983422
0.559269756586	1.97237137266
0.512476381016	1.7950780517
0.468267200178	1.63269671961
0.426836723352	1.48387901586
0.388184950539	1.34738850029
0.352311881738	1.22209113985
0.319023007669	1.1069457954
0.288290541292	1.00099638728
0.259836612204	0.903362661845
0.233550072246	0.813233476306
0.209208625097	0.729860083454
0.186673335556	0.652549696266
0.165721907302	0.580660451481
0.146243192175	0.513594974183
0.128042680894	0.45079590098
0.111009225297	0.391741962801
0.0949483161054	0.335942109068
0.0797765921974	0.282933269294
0.0652995442925	0.232274617166
0.0514615983106	0.183545639913
0.0381238190508	0.136341465634
0.0251472713127	0.0902698974115
0.0124763810159	0.0449482515564
-2.77870401175e-05	0.0
