Re_x	Nu_x
2176.84682805	14.7657881334
4371.89644927	19.3470850726
6603.50403612	23.8336796433
8890.32951962	27.8383537449
11251.498676	31.5087872184
13706.7511523	34.9358083265
16276.6189677	38.198679633
18982.5941311	41.353585267
21847.2919041	44.4436960618
24894.7033156	47.5031999306
28150.2648208	50.5593720342
31641.230542	53.6356635833
35396.7702267	56.7518530227
39448.2957746	59.9250655018
43829.7006908	63.1701550392
48577.599539	66.5033549403
53731.7197738	69.9325972409
59335.1411939	73.4798092067
65434.709543	77.142356
72081.4718793	80.9524659482
79330.9595653	84.8980384039
87243.8195537	89.0158734728
95886.2279881	93.2942309108
105330.412646	97.7653256273
115655.393068	102.41174358
126947.48123	107.300790294
139301.108747	112.31820039
152819.588771	117.737001083
167615.943188	123.115837333
183813.903973	129.233222832
201548.914534	135.040132322
220969.326984	142.047837578
242237.338178	148.526152727
265531.123031	156.58627585
291045.291649	164.154062233
318993.17502	173.379656062
349608.348809	182.513828809
383147.027889	192.990234036
419889.59013	204.111698824
460143.406305	215.892711741
504244.799249	229.328200947
552562.744498	242.304006891
605501.264825	257.557832231
